Ticker,Date,Open,High,Low,Close,Volume,Daily_Return,MA7,MA21,Price_Range
RELIANCE,2026-03-27,1401.0,1404.7,1345.0,1348.1,23266517,-0.046,1398.3,1393.96,59.7
RELIANCE,2026-03-30,1335.0,1365.0,1334.1,1343.9,24393861,-0.0031,1389.13,1391.36,30.9
TCS,2025-04-01,3453.35,3464.28,3407.25,3432.19,2618493,,,,57.03
TCS,2025-04-02,3425.61,3445.04,3412.13,3425.57,1764313,-0.0019,,,32.91
TCS,2025-04-03,3374.38,3385.02,3282.7,3289.47,4537821,-0.0397,,,102.32
TCS,2025-04-04,3250.27,3286.09,3185.41,3189.18,5317367,-0.0305,,,100.68
TCS,2025-04-07,2996.45,3181.45,2953.96,3164.68,6623955,-0.0077,,,227.49
TCS,2025-04-08,3191.75,3237.13,3146.56,3182.95,5557558,0.0058,,,90.57
TCS,2025-04-09,3151.63,3160.77,3104.75,3138.15,2990265,-0.0141,3260.31,,56.02
TCS,2025-04-11,3179.66,3188.75,3098.9,3123.55,7108961,-0.0047,3216.22,,89.85
TCS,2025-04-15,3203.68,3203.68,3130.42,3139.69,3512160,0.0052,3175.38,,73.26
TCS,2025-04-16,3139.69,3168.6,3121.14,3164.44,2384391,0.0079,3157.52,,47.46
TCS,2025-04-17,3137.09,3193.24,3110.5,3188.7,2932346,0.0077,3157.45,,82.74
TCS,2025-04-21,3180.2,3241.96,3174.4,3210.64,2432946,0.0069,3164.02,,67.56
TCS,2025-04-22,3211.61,3222.53,3184.93,3203.68,2710498,-0.0022,3166.98,,37.6
TCS,2025-04-23,3252.59,3306.63,3225.82,3298.99,3543923,0.0298,3189.96,,80.81
TCS,2025-04-24,3287.49,3298.51,3274.53,3287.97,2252175,-0.0033,3213.44,,23.98
TCS,2025-04-25,3305.76,3361.63,3291.26,3332.82,2742991,0.0136,3241.03,,70.37
TCS,2025-04-28,3320.25,3342.29,3291.26,3328.47,1593296,-0.0013,3264.47,,51.03
TCS,2025-04-29,3339.59,3378.25,3315.81,3356.5,1578332,0.0084,3288.44,,62.44
TCS,2025-04-30,3356.02,3392.65,3253.56,3338.33,2809332,-0.0054,3306.68,,139.09
TCS,2025-05-02,3356.02,3374.87,3305.76,3316.39,1721761,-0.0066,3322.78,,69.11
TCS,2025-05-05,3334.75,3387.43,3331.27,3338.91,1284443,0.0068,3328.48,3259.58,56.16
TCS,2025-05-06,3344.42,3356.99,3322.19,3344.42,1324763,0.0017,3336.55,3255.4,34.8
TCS,2025-05-07,3306.34,3343.94,3306.34,3330.02,1477128,-0.0043,3336.15,3250.85,37.6
TCS,2025-05-08,3332.82,3360.85,3314.17,3333.69,2543591,0.0011,3336.89,3252.96,46.68
TCS,2025-05-09,3285.46,3331.08,3284.59,3325.38,2531757,-0.0025,3332.45,3259.45,46.49
TCS,2025-05-12,3387.92,3509.22,3385.21,3499.46,2228678,0.0523,3355.47,3275.39,124.01
TCS,2025-05-13,3499.46,3501.97,3393.23,3397.58,3062887,-0.0291,3367.07,3285.61,108.74
TCS,2025-05-14,3403.38,3442.05,3391.4,3430.16,2119499,0.0096,3380.1,3299.51,50.65
TCS,2025-05-15,3444.95,3479.74,3396.71,3460.31,3548330,0.0088,3396.66,3315.55,83.03
TCS,2025-05-16,3473.85,3473.85,3427.64,3442.34,1666727,-0.0052,3412.7,3329.96,46.21
TCS,2025-05-19,3431.41,3431.41,3386.66,3401.26,2537377,-0.0119,3422.36,3341.24,44.75
TCS,2025-05-20,3413.82,3439.15,3377.28,3381.44,2038374,-0.0058,3430.36,3350.42,61.87
TCS,2025-05-21,3390.82,3418.85,3381.44,3408.02,1440153,0.0079,3417.3,3359.82,37.41
TCS,2025-05-22,3378.25,3380.96,3336.01,3360.85,2034383,-0.0138,3412.05,3367.3,44.95
TCS,2025-05-23,3360.85,3416.91,3349.83,3397.2,1274331,0.0108,3407.35,3371.98,67.08
TCS,2025-05-26,3403.38,3426.58,3392.85,3419.14,967470,0.0065,3401.46,3378.22,33.73
TCS,2025-05-27,3414.01,3421.75,3366.75,3381.83,2467680,-0.0109,3392.82,3380.56,55.0
TCS,2025-05-28,3402.42,3411.11,3376.32,3380.86,1222933,-0.0003,3389.91,3383.05,34.79
TCS,2025-05-29,3387.63,3414.5,3370.03,3381.25,3188072,0.0001,3389.88,3384.23,44.47
TCS,2025-05-30,3373.42,3389.56,3337.75,3347.71,3404365,-0.0099,3381.26,3384.68,51.81
TCS,2025-06-02,3334.75,3344.42,3304.4,3334.56,1877585,-0.0039,3377.51,3385.54,40.02
TCS,2025-06-03,3330.89,3357.47,3286.91,3291.45,2848125,-0.0129,3362.4,3383.28,70.56
TCS,2025-06-04,3304.91,3310.56,3286.38,3297.01,2544807,0.0017,3344.95,3381.02,24.18
TCS,2025-06-05,3324.41,3324.41,3280.24,3287.45,3584683,-0.0029,3331.47,3379.0,44.17
TCS,2025-06-06,3287.45,3306.76,3275.36,3300.23,2070390,0.0039,3319.95,3377.4,31.4
TCS,2025-06-09,3315.63,3348.79,3306.76,3336.99,1718678,0.0111,3313.63,3377.96,42.03
TCS,2025-06-10,3354.64,3399.31,3338.26,3376.97,2419874,0.012,3317.81,3372.12,61.05
TCS,2025-06-11,3383.9,3402.43,3363.52,3385.75,2847013,0.0026,3325.12,3371.56,38.91
TCS,2025-06-12,3385.75,3388.48,3338.26,3348.99,4060134,-0.0109,3333.34,3367.7,50.22
TCS,2025-06-13,3309.0,3364.88,3309.0,3360.2,2178493,0.0033,3342.37,3362.93,55.88
TCS,2025-06-16,3354.64,3421.93,3341.18,3409.55,1934088,0.0147,3359.81,3361.37,80.75
TCS,2025-06-17,3422.91,3432.66,3401.55,3428.07,2111940,0.0054,3378.07,3362.64,31.11
TCS,2025-06-18,3431.78,3450.21,3357.67,3365.76,2696327,-0.0182,3382.18,3361.9,92.54
TCS,2025-06-19,3364.39,3365.37,3328.31,3339.04,2672768,-0.0079,3376.77,3358.61,37.06
TCS,2025-06-20,3340.01,3360.79,3326.26,3350.45,2351248,0.0034,3371.72,3358.12,34.53
TCS,2025-06-23,3330.26,3340.01,3286.38,3309.39,3123421,-0.0123,3366.07,3353.94,53.63
TCS,2025-06-24,3349.38,3356.69,3298.08,3306.27,3403048,-0.0009,3358.36,3348.56,58.61
TCS,2025-06-25,3322.75,3364.39,3315.63,3359.32,1757699,0.016,3351.19,3347.49,48.76
TCS,2025-06-26,3359.32,3365.76,3330.56,3356.4,2879106,-0.0009,3340.95,3346.32,35.2
TCS,2025-06-27,3369.27,3380.39,3345.87,3355.72,1778433,-0.0002,3339.51,3345.11,34.52
TCS,2025-06-30,3354.54,3378.92,3344.89,3376.1,1468351,0.0061,3344.81,3346.46,34.03
TCS,2025-07-01,3369.27,3398.53,3328.8,3344.6,2375183,-0.0093,3343.97,3346.94,69.73
TCS,2025-07-02,3400.67,3403.3,3335.14,3338.36,3090585,-0.0019,3348.11,3349.17,68.16
TCS,2025-07-03,3344.89,3350.06,3313.29,3316.42,2531870,-0.0066,3349.56,3350.1,36.77
TCS,2025-07-04,3323.44,3341.96,3305.98,3334.94,1109320,0.0056,3346.08,3352.36,35.98
TCS,2025-07-07,3333.48,3341.09,3323.83,3327.04,1639174,-0.0024,3341.88,3353.63,17.26
TCS,2025-07-08,3320.51,3340.01,3309.2,3321.68,2325242,-0.0016,3337.02,3352.91,30.81
TCS,2025-07-09,3325.39,3329.29,3283.45,3299.84,2034938,-0.0066,3326.13,3349.23,45.84
TCS,2025-07-10,3296.13,3314.66,3272.73,3298.08,3035012,-0.0005,3319.48,3345.06,41.93
TCS,2025-07-11,3218.02,3252.25,3180.18,3184.96,7635550,-0.0343,3297.57,3337.25,72.07
TCS,2025-07-14,3184.96,3190.81,3120.6,3142.73,3924009,-0.0133,3272.75,3326.89,70.21
TCS,2025-07-15,3126.45,3178.52,3126.45,3171.6,2590889,0.0092,3249.42,3315.56,52.07
TCS,2025-07-16,3157.61,3175.12,3151.34,3163.58,2540733,-0.0025,3226.07,3302.97,23.78
TCS,2025-07-17,3154.77,3172.28,3135.2,3140.19,2947640,-0.0074,3200.14,3292.22,37.08
TCS,2025-07-18,3155.65,3159.37,3118.47,3121.3,3432645,-0.006,3174.63,3281.86,40.9
TCS,2025-07-21,3121.4,3128.84,3084.22,3090.29,3844346,-0.0099,3144.95,3269.47,44.62
TCS,2025-07-22,3091.66,3111.72,3086.76,3091.66,3198036,0.0004,3131.62,3259.1,24.96
TCS,2025-07-23,3091.66,3113.57,3089.7,3110.74,1922875,0.0062,3127.05,3249.79,23.87
TCS,2025-07-24,3097.04,3105.45,3072.48,3080.31,2934778,-0.0098,3114.01,3236.5,32.97
